produto;unit;price;quantity;total
1906 Reserva Especial Pack 6;6,38;uni;;;
5 Especiarias Chinesas;2,83;40g;;;
7 Especias Libanesas;2,85;40g;;;
Agar Agar em Pó - Biológico;2,97;40g;;;
Alga - Alface do Mar Desidratadas;7,25;100g;;;
Alga - Esparguete do Mar Desidratadas;4,75;100g;;;
Alga - Kombu Desidratadas;6,10;100g;;;
Alga - Wakame Desidratadas;7,25;100g;;;
Alheira Bem Bom;2,60;uni;;;
Alho moído Biológico;0,86;40g;;;
Amaranto Biológico;0,49;100g;;;
Amendoim Torrado Jumbo;0,60;100g;;;
Amido de Mandioca Biológico;0,62;100g;;;
Amido de Milho Biológico;0,73;100g;;;
Amora branca Desidratada Biológico;1,39;100g;;;
Amêndoa Pelada (c/pele) Biológico;2,45;100g;;;
Amêndoa Portuguesa;1,57;100g;;;
Amêndoa Sem Pele Tostada Biológico;0,00;100g;;;
Amêndoa sem pele Biológico;2,97;100g;;;
Amêndoim (Cacahuete) sem pele Biológico;0,81;100g;;;
Ananás com açúcar de cana Biológico;2,16;100g;;;
Anis Estrela Biológico;1,28;40g;;;
Aquela Kombucha Gengibre Biológico;2,50;uni;;;
Aquela Kombucha Hortelã Biológico;2,50;uni;;;
Aquela Kombucha Original Biológico;2,50;uni;;;
Arandos c/Sumo de Maçã Biológico;2,29;100g;;;
Areias de Limão Biológico;3,23;100g;;;
Arrabiata;4,11;40g;;;
Arroz Basmati Branco Biológico;7,35;Kg;;;
Arroz Basmati Caçarola;2,79;uni;;;
Arroz Basmati Integral Biológico;6,95;Kg;;;
Arroz Caçarola Agulha;1,19;uni;;;
Arroz Jasmin Branco Biológico;5,12;Kg;;;
Arroz Negro Biológico;0,76;100g;;;
Arroz Saludães Extra Longo;1,29;uni;;;
Arroz Selvagem Biológico;2,18;100g;;;
Arroz Vermelho Biológico;0,62;100g;;;
Arándanos Rojos sin Açucar Biológico;2,00;100g;;;
Aveia em Grão Biológico;0,28;100g;;;
Avelã crua com pele Biológico;1,80;100g;;;
Azeite Vale D'Arca Bag-in-Box 2l;13,99;uni;;;
Azeite Vale D'Arca Gourmet;4,39;uni;;;
Azeite Vale D'Arca Premium;5,49;uni;;;
Azeite Vale D'Arca Premium;8,49;uni;;;
Azeite Vale D'Arca Vinagre Branco;3,30;uni;;;
Azeitona Preta Oxidada Descaroçada;1,93;uni;;;
Azeitonas Mistas Inteiras ao Natural;1,64;uni;;;
Azeitonas Mistas Retalhadas ao Natural c/Ervas Aromáticas;2,13;uni;;;
Azeitonas Pretas Galega ao Natural;2,27;uni;;;
Azeitonas Pretas Kalamata ao Natural;2,71;uni;;;
Azeitonas Verdes Descaroçadas;2,08;uni;;;
Azeitonas Verdes Recheadas c/ Pasta de Pimento;2,44;uni;;;
Azeitonas Verdes Retalhadas com Ervas Aromáticas e Piri-Piri;2,99;uni;;;
Açaí Liofilizado em Pó Biológico;5,09;40g;;;
Açucar Branco;0,99;uni;;;
Açúcar Panela Integral de Cana Biológico;0,59;100g;;;
Açúcar de côco Biológico;0,91;100g;;;
Bagas de Goji Biológico;1,49;40g;;;
Banana chips Desidratada Biológico;0,87;100g;;;
Barrinha de Muesli e cõco Biológico;1,04;undefined;;;
Batatas Fritas Lay's Gourmet;2,19;uni;;;
Batatas Fritas Sr. Basilio 4Pimentas;1,98;uni;;;
Batatas Fritas Sr. Basilio Lisas Azeite;1,98;uni;;;
Bebida de Amêndoas Nature Proteínas Biológico;3,17;uni;;;
Bebida de Arroz Biológico;1,89;uni;;;
Bebida de Arroz com Cacau Biológico;2,45;uni;;;
Bebida de Arroz com Cálcio Biológico;0,84;uni;;;
Bebida de Aveia Barista s/açucar Biológico;2,49;uni;;;
Bebida de Aveia Nature Biológico;1,89;uni;;;
Bebida de Aveia com Cacau e Cálcio Biológico;0,95;uni;;;
Bebida de Aveia com Calcio Biológico;0,79;uni;;;
Bebida de Aveia com Cálcio Biológico;2,07;uni;;;
Bebida de Côco Nature Biológico;2,99;uni;;;
Black Pig Gin Costa Alentejana;29,12;uni;;;
Bolacha Integral Biológico;1,66;uni;;;
