category;produto;unit;price;quantity;total
Ajudas Culinária;Caldo Vegetal Biológico;1,85;uni;;;
Ajudas Culinária;Fruta de Jaca Desfiada;6,69;uni;;;
Ajudas Culinária;Leite de Côco;2,09;uni;;;
Ajudas Culinária;Leite de Côco Condensado;4,70;uni;;;
Ajudas Culinária;Meaty Mix - Preparado de Soja;5,71;uni;;;
Ajudas Culinária;Molho Cozinha Arroz;1,20;uni;;;
Ajudas Culinária;Molho Cozinha Aveia;1,20;uni;;;
Ajudas Culinária;Molho de Tomate e Manjericão;2,37;uni;;;
Ajudas Culinária;Nata Culinária Universal Vegan;1,34;uni;;;
Ajudas Culinária;Picado para 4 Hamburguers/almondegas/croquetes;5,00;uni;;;
Ajudas Culinária;Polpa de Tomate Biológico;2,89;uni;;;
Ajudas Culinária;Preparado Culinária Base de Caju Nature Biológico;1,51;uni;;;
Ajudas Culinária;Preparado Culinária Bechamel Biológico;1,91;uni;;;
Ajudas Culinária;Preparado Culinária India Biológico;1,91;uni;;;
Ajudas Culinária;Preparado Culinária Thai Biológico;1,91;uni;;;
Ajudas Culinária;Preparado Cúlinária á Base de Amêndoas Nature Biológico;1,51;uni;;;
Ajudas Culinária;V'eggs - Substituto de Ovo;4,97;uni;;;
Algas;Agar Agar em Pó - Biológico;2,97;40g;;;
Algas;Alga - Alface do Mar Desidratadas;7,25;100g;;;
Algas;Alga - Esparguete do Mar Desidratadas;4,75;100g;;;
Algas;Alga - Kombu Desidratadas;6,10;100g;;;
Algas;Alga - Wakame Desidratadas;7,25;100g;;;
Azeites, Óleos e Vinagres;Azeite Vale D'Arca Bag-in-Box 2l;13,99;uni;;;
Azeites, Óleos e Vinagres;Azeite Vale D'Arca Gourmet;4,39;uni;;;
Azeites, Óleos e Vinagres;Azeite Vale D'Arca Premium;5,49;uni;;;
Azeites, Óleos e Vinagres;Azeite Vale D'Arca Premium;8,49;uni;;;
Azeites, Óleos e Vinagres;Azeite Vale D'Arca Vinagre Branco;3,30;uni;;;
Azeites, Óleos e Vinagres;Piri Piri Oliveira da Serra;2,49;uni;;;
Azeites, Óleos e Vinagres;Vinagre De Agridoce de Framboesa Biológico;4,90;uni;;;
Azeites, Óleos e Vinagres;Vinagre Gallo Balsamico;1,99;uni;;;
Azeites, Óleos e Vinagres;Vinagre de Cidra Biológico;2,81;uni;;;
Azeites, Óleos e Vinagres;Vinagre de Framboesa Biológico;3,84;uni;;;
Azeites, Óleos e Vinagres;Vinagre de Vinho Tinto-Eira Velha Biológico;3,69;uni;;;
Azeites, Óleos e Vinagres;Óleo de Canhamo Biológico;8,29;uni;;;
Azeites, Óleos e Vinagres;Óleo de Coco Organic;5,74;uni;;;
Azeites, Óleos e Vinagres;Óleo de Côco Biológico;7,72;uni;;;
Azeites, Óleos e Vinagres;Óleo de Girasol Biológico;3,42;uni;;;
Azeites, Óleos e Vinagres;Óleo de Linhaça Biológico;5,35;uni;;;
Azeites, Óleos e Vinagres;Óleo de Sesámo Biológico;5,41;uni;;;
Todos os Produtos;1906 Reserva Especial Pack 6;6,38;uni;;;
Todos os Produtos;5 Especiarias Chinesas;2,83;40g;;;
Todos os Produtos;7 Especias Libanesas;2,85;40g;;;
Todos os Produtos;Agar Agar em Pó - Biológico;2,97;40g;;;
Todos os Produtos;Alga - Alface do Mar Desidratadas;7,25;100g;;;
Todos os Produtos;Alga - Esparguete do Mar Desidratadas;4,75;100g;;;
Todos os Produtos;Alga - Kombu Desidratadas;6,10;100g;;;
Todos os Produtos;Alga - Wakame Desidratadas;7,25;100g;;;
Todos os Produtos;Alheira Bem Bom;2,60;uni;;;
Todos os Produtos;Alho moído Biológico;0,86;40g;;;
Todos os Produtos;Amaranto Biológico;0,49;100g;;;
Todos os Produtos;Amendoim Torrado Jumbo;0,60;100g;;;
Todos os Produtos;Amido de Mandioca Biológico;0,62;100g;;;
Todos os Produtos;Amido de Milho Biológico;0,73;100g;;;
Todos os Produtos;Amora branca Desidratada Biológico;1,39;100g;;;
Todos os Produtos;Amêndoa Pelada (c/pele) Biológico;2,45;100g;;;
Todos os Produtos;Amêndoa Portuguesa;1,57;100g;;;
Todos os Produtos;Amêndoa Sem Pele Tostada Biológico;0,00;100g;;;
Todos os Produtos;Amêndoa sem pele Biológico;2,97;100g;;;
Todos os Produtos;Amêndoim (Cacahuete) sem pele Biológico;0,81;100g;;;
Todos os Produtos;Ananás com açúcar de cana Biológico;2,16;100g;;;
Todos os Produtos;Anis Estrela Biológico;1,28;40g;;;
Todos os Produtos;Aquela Kombucha Gengibre Biológico;2,50;uni;;;
Todos os Produtos;Aquela Kombucha Hortelã Biológico;2,50;uni;;;
Todos os Produtos;Aquela Kombucha Original Biológico;2,50;uni;;;
Todos os Produtos;Arandos c/Sumo de Maçã Biológico;2,29;100g;;;
Todos os Produtos;Areias de Limão Biológico;3,23;100g;;;
Todos os Produtos;Arrabiata;4,11;40g;;;
Todos os Produtos;Arroz Basmati Branco Biológico;7,35;Kg;;;
Todos os Produtos;Arroz Basmati Caçarola;2,79;uni;;;
Todos os Produtos;Arroz Basmati Integral Biológico;6,95;Kg;;;
Todos os Produtos;Arroz Caçarola Agulha;1,19;uni;;;
Todos os Produtos;Arroz Jasmin Branco Biológico;5,12;Kg;;;
Todos os Produtos;Arroz Negro Biológico;0,76;100g;;;
Todos os Produtos;Arroz Saludães Extra Longo;1,29;uni;;;
Todos os Produtos;Arroz Selvagem Biológico;2,18;100g;;;
Todos os Produtos;Arroz Vermelho Biológico;0,62;100g;;;
Todos os Produtos;Arándanos Rojos sin Açucar Biológico;2,00;100g;;;
Todos os Produtos;Aveia em Grão Biológico;0,28;100g;;;
Todos os Produtos;Avelã crua com pele Biológico;1,80;100g;;;
Todos os Produtos;Azeite Vale D'Arca Bag-in-Box 2l;13,99;uni;;;
Todos os Produtos;Azeite Vale D'Arca Gourmet;4,39;uni;;;
Todos os Produtos;Azeite Vale D'Arca Premium;5,49;uni;;;
Todos os Produtos;Azeite Vale D'Arca Premium;8,49;uni;;;
Todos os Produtos;Azeite Vale D'Arca Vinagre Branco;3,30;uni;;;
Todos os Produtos;Azeitona Preta Oxidada Descaroçada;1,93;uni;;;
Todos os Produtos;Azeitonas Mistas Inteiras ao Natural;1,64;uni;;;
Todos os Produtos;Azeitonas Mistas Retalhadas ao Natural c/Ervas Aromáticas;2,13;uni;;;
Todos os Produtos;Azeitonas Pretas Galega ao Natural;2,27;uni;;;
Todos os Produtos;Azeitonas Pretas Kalamata ao Natural;2,71;uni;;;
Aperitivos e Snacks;Azeitona Preta Oxidada Descaroçada;1,93;uni;;;
Aperitivos e Snacks;Azeitonas Mistas Inteiras ao Natural;1,64;uni;;;
Aperitivos e Snacks;Azeitonas Mistas Retalhadas ao Natural c/Ervas Aromáticas;2,13;uni;;;
Aperitivos e Snacks;Azeitonas Pretas Galega ao Natural;2,27;uni;;;
Aperitivos e Snacks;Azeitonas Pretas Kalamata ao Natural;2,71;uni;;;
Aperitivos e Snacks;Azeitonas Verdes Descaroçadas;2,08;uni;;;
Aperitivos e Snacks;Azeitonas Verdes Recheadas c/ Pasta de Pimento;2,44;uni;;;
Aperitivos e Snacks;Azeitonas Verdes Retalhadas com Ervas Aromáticas e Piri-Piri;2,99;uni;;;
Aperitivos e Snacks;Batatas Fritas Lay's Gourmet;2,19;uni;;;
Aperitivos e Snacks;Batatas Fritas Sr. Basilio 4Pimentas;1,98;uni;;;
Aperitivos e Snacks;Batatas Fritas Sr. Basilio Lisas Azeite;1,98;uni;;;
Aperitivos e Snacks;Crackas Ladinas 100g s/gluten Biológico;5,48;uni;;;
Aperitivos e Snacks;Crackas Manjericas 100g s/gluten Biológico;5,48;uni;;;
Aperitivos e Snacks;Crackas Mariolas 100g s/gluten Biológico;5,48;uni;;;
Aperitivos e Snacks;Crackas Peri-peri 100g s/gluten Biológico;5,48;uni;;;
Aperitivos e Snacks;Crackas Tugas 100g s/gluten Biológico;5,48;uni;;;
Aperitivos e Snacks;Crackers Integral Tomate Quinoa e Orégãos Biológico;2,16;uni;;;
Aperitivos e Snacks;Pepinos Médios em Frasco;1,94;uni;;;
Aperitivos e Snacks;Pickles Alcaparras;2,44;uni;;;
Aperitivos e Snacks;Pickles Cebolinhas;1,98;uni;;;
Aperitivos e Snacks;Pickles Mixed;1,81;uni;;;
